object,check,status,details
cylinder,project_root_exists,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project
cylinder,tesollo_root_exists,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project/tesollo_dg5f_mujoco-main
cylinder,main_script_exists,OK,train_dg5f_ur10e_resnet18_sac_ppo.py
cylinder,scene_dg_exists,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project/tesollo_dg5f_mujoco-main/robot/scene_dg.xml
cylinder,dg5f_xml_exists,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project/tesollo_dg5f_mujoco-main/robot/dg5f_right.xml
cylinder,ur10e_dg5f_xml_exists,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project/tesollo_dg5f_mujoco-main/robot/ur10edg5f.xml
cylinder,import_torch,OK,2.12.1
cylinder,import_torchvision,OK,0.27.1
cylinder,import_gymnasium,OK,1.3.0
cylinder,import_mujoco,OK,3.9.0
cylinder,import_stable_baselines3,OK,2.9.0
cylinder,import_pinocchio,OK,4.0.0
cylinder,import_project_module,OK,"ExperimentConfig, UR10EDG5FGraspEnv, make_grasp_scene_xml доступны"
cylinder,generated_scene_exists,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project/generated_scenes/scene_ur10e_dg5f_cylinder.xml
cylinder,env_created,OK,Среда UR10e + DG-5F создана
cylinder,action_space_exists,OK,"Box(-1.0, 1.0, (26,), float32)"
cylinder,observation_space_exists,OK,"Box(-inf, inf, (580,), float32)"
cylinder,reset_environment,OK,"obs_shape=(580,)"
cylinder,one_step_works,OK,"{'reward': -106.25249011220268, 'terminated': False, 'truncated': False, 'obs_shape': (580,)}"
cylinder,env_basic_check,OK,reset() и step() выполнены
cylinder,object_not_too_far,OK,"{'object_pos': [-0.15250919762305273, -0.5409857138718017, 0.2], 'ee_pos': [0.10038431036148249, -0.49746904611528, 0.34389067066231055], 'initial_distance': 0.2941995102936189, 'threshold': 0.35}"
cylinder,camera_returns_nonempty_image,OK,"{'front': {'shape': (360, 480, 3), 'std': 83.11936265937462, 'nonempty': True}, 'palm': {'shape': (360, 480, 3), 'std': 88.08978012302356, 'nonempty': True}}"
cylinder,save_camera_snapshots,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project/figures
cylinder,action_space_exists,OK,"{'shape': (26,), 'low_min': -1.0, 'low_max': -1.0, 'high_min': 1.0, 'high_max': 1.0}"
cylinder,action_changes_joint_positions,OK,"{'changes': [2.5483691503195613, 2.563887366950155, 2.6569903596902926], 'max_qpos_delta': 2.6569903596902926}"
cylinder,action_not_explosive,OK,"{'changes': [2.5483691503195613, 2.563887366950155, 2.6569903596902926], 'max_qpos_delta': 2.6569903596902926}"
cylinder,reward_is_not_constant,OK,"{'reward_min': -106.25401794985173, 'reward_max': 0.8460698459545084, 'reward_std': 16.06208856984079}"
cylinder,reward_plot_saved,OK,/Users/andreygorin/Documents/Институт/МАИ/ВКР/Код/DG5F_RL_Project/figures/preflight_reward_trace_cylinder.png
cylinder,contact_diagnostics_available,OK,"{'max_contact_count': 0.0, 'max_bad_contact_count': 0.0, 'any_object_escaped': False, 'max_finger_hyperextension': 7.680556670848942}"
cylinder,contact_can_be_detected_under_scripted_actions,WARN,"[('low', 0.0, -1.2938528314576647e-06, -16.826132090399426), ('high', 0.0, -1.2938528314576647e-06, -1.4385614227691), ('mid', 0.0, -1.2905019658449035e-06, -5.946397290188352)]"
cylinder,success_logic_can_return_true,OK,"{'reward': 550.9099510293619, 'info': {'success': True, 'tracking_error': 0.0, 'contact_count': 2.0, 'contact': True, 'contact_flags': array([1., 1., 0., 0., 0.], dtype=float32), 'object_lift': 0.04500000000000001, 'object_z': 0.24500000000000002, 'object_xy_shift': 0.009356998830424327, 'object_escaped': False, 'bad_contact': False, 'bad_contact_count': 0.0, 'bad_contact_geoms': [], 'penalize_bad_contact': False, 'palm_contact': False, 'useful_grasp_progress': True, 'finger_hyperextension': 0.0, 'finger_hyperextension_penalty': 0.0, 'finger_qpos_min': 0.0, 'finger_qpos_max': 0.0, 'previous_tracking_error': 0.2941995102936189, 'tracking_error_delta': 0.2941995102936189, 'reach_reward': 29.41995102936189, 'multi_finger_contact_count': 1.0, 'multi_finger_contact_reward': 10.0, 'lift_reward': 4.500000000000001, 'hold_reward': 2.0, 'stable_grasp': True, 'stable_grasp_reward': 5.0, 'time_penalty': 0.01, 'object_was_lifted_before': False, 'object_dropped': False, 'drop_penalty': 0.0, 'action_penalty': 0.0, 'velocity_penalty': 0.0, 'ee_pos': array([-0.1525092 , -0.54098571,  0.245     ]), 'object_pos': array([-0.1525092 , -0.54098571,  0.245     ])}}"
